N12:03:12.712 -> lidar_dist =446
12:03:19.672 -> lidar_dist =414
12:03:25.274 -> lidar_dist =408
12:03:31.250 -> lidar_dist =435
12:03:37.433 -> lidar_dist =428
12:03:43.477 -> lidar_dist =583
12:03:48.976 -> lidar_dist =579
12:03:55.732 -> lidar_dist =486
12:04:02.687 -> lidar_dist =401
12:04:08.048 -> lidar_dist =587
12:04:14.093 -> lidar_dist =391
12:04:20.303 -> lidar_dist =513
12:04:26.548 -> lidar_dist =423
12:04:32.143 -> lidar_dist =575
12:04:38.040 -> lidar_dist =399
12:04:43.635 -> lidar_dist =566
12:04:48.992 -> lidar_dist =579
12:04:54.763 -> lidar_dist =577
12:05:00.905 -> lidar_dist =582
12:05:06.195 -> lidar_dist =590
12:05:12.299 -> lidar_dist =590
12:05:18.102 -> lidar_dist =127
12:05:23.196 -> lidar_dist =598
12:05:29.129 -> lidar_dist =585
12:05:34.695 -> lidar_dist =590
12:05:40.017 -> lidar_dist =590
12:05:45.127 -> lidar_dist =593
12:05:50.352 -> lidar_dist =591
12:05:55.811 -> lidar_dist =585
12:06:00.931 -> lidar_dist =594
12:06:06.590 -> lidar_dist =583
12:06:12.321 -> lidar_dist =577
12:06:18.432 -> lidar_dist =573
12:06:24.563 -> lidar_dist =593
12:06:30.256 -> lidar_dist =569
12:06:35.579 -> lidar_dist =573
12:06:41.040 -> lidar_dist =583
12:06:46.638 -> lidar_dist =586
12:06:52.469 -> lidar_dist =392
12:06:57.524 -> lidar_dist =601
12:07:02.711 -> lidar_dist =594
12:07:07.932 -> lidar_dist =590
12:07:13.148 -> lidar_dist =589
12:07:19.283 -> lidar_dist =575
12:07:24.950 -> lidar_dist =587
12:07:30.243 -> lidar_dist =581
12:07:35.941 -> lidar_dist =591
12:07:41.064 -> lidar_dist =589
12:07:46.222 -> lidar_dist =583
12:07:51.784 -> lidar_dist =587
12:07:57.079 -> lidar_dist =585
12:08:02.270 -> lidar_dist =588
12:08:07.397 -> lidar_dist =590
12:08:12.621 -> lidar_dist =583
12:08:17.915 -> lidar_dist =588
12:08:23.107 -> lidar_dist =594
12:08:28.300 -> lidar_dist =583
12:08:34.579 -> lidar_dist =576
12:08:40.066 -> lidar_dist =580
12:08:45.323 -> lidar_dist =574
12:08:50.752 -> lidar_dist =591
12:08:56.175 -> lidar_dist =589
12:09:01.775 -> lidar_dist =562
12:09:07.957 -> lidar_dist =572
12:09:13.280 -> lidar_dist =577
12:09:18.980 -> lidar_dist =563
12:09:24.133 -> lidar_dist =589
12:09:29.527 -> lidar_dist =589
12:09:34.957 -> lidar_dist =553
12:09:40.181 -> lidar_dist =588
12:09:45.912 -> lidar_dist =570
12:09:51.133 -> lidar_dist =594
12:09:56.256 -> lidar_dist =585
12:10:01.448 -> lidar_dist =586
12:10:07.148 -> lidar_dist =584
12:10:13.829 -> lidar_dist =584
12:10:19.430 -> lidar_dist =586
12:10:24.653 -> lidar_dist =559
12:10:29.945 -> lidar_dist =584
12:10:35.167 -> lidar_dist =563
12:10:40.565 -> lidar_dist =586
12:10:45.718 -> lidar_dist =588
12:10:51.996 -> lidar_dist =584
12:10:57.254 -> lidar_dist =584
12:11:02.636 -> lidar_dist =584
12:11:07.817 -> lidar_dist =564
12:11:13.039 -> lidar_dist =586
12:11:18.566 -> lidar_dist =586
12:11:23.784 -> lidar_dist =594
12:11:29.640 -> lidar_dist =585
12:11:35.261 -> lidar_dist =581
12:11:40.967 -> lidar_dist =585
12:11:46.328 -> lidar_dist =581
12:11:51.686 -> lidar_dist =591
12:11:56.952 -> lidar_dist =590
12:12:02.275 -> lidar_dist =583
12:12:07.808 -> lidar_dist =558
12:12:12.993 -> lidar_dist =588
12:12:18.250 -> lidar_dist =585
12:12:23.741 -> lidar_dist =585
12:12:29.408 -> lidar_dist =590
12:12:34.801 -> lidar_dist =591
12:12:40.158 -> lidar_dist =590
12:12:46.195 -> lidar_dist =564
12:12:51.414 -> lidar_dist =582
12:12:56.574 -> lidar_dist =590
12:13:01.866 -> lidar_dist =585
12:13:07.769 -> lidar_dist =583
12:13:13.030 -> lidar_dist =588
12:13:18.259 -> lidar_dist =592
12:13:24.063 -> lidar_dist =583
12:13:29.259 -> lidar_dist =583
12:13:34.887 -> lidar_dist =586
12:13:40.146 -> lidar_dist =577
12:13:45.371 -> lidar_dist =583
12:13:50.769 -> lidar_dist =593
12:13:56.401 -> lidar_dist =564
12:14:01.491 -> lidar_dist =594
12:14:06.685 -> lidar_dist =582
12:14:11.837 -> lidar_dist =583
12:14:16.927 -> lidar_dist =592
12:14:22.596 -> lidar_dist =584
12:14:27.780 -> lidar_dist =581
12:14:33.855 -> lidar_dist =587
12:14:39.457 -> lidar_dist =577
12:14:45.700 -> lidar_dist =587
